0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:56 +0900] "GET /shoppingmall/resources/images/eye-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:59 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:00 +0900] "POST /shoppingmall/member_test/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /shoppingmall/ HTTP/1.1" 200 31807
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /shoppingmall/resources/images/icon-logout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /shoppingmall/resources/slick/slick.css HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /shoppingmall/resources/slick/slick-theme.css HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /shoppingmall/resources/slick/slick.min.js HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/SRN000000004893_image_2.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/SRN000000003562_image_1.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/SRN000000002230_image_1.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/%EB%B0%98%ED%8C%94%EC%85%94%EC%B8%A0_123-000-800_image_3.png HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/%EB%B0%98%ED%8C%94%EC%85%94%EC%B8%A0_123-000-800_image_1.png HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/%EB%B0%98%ED%8C%94%EC%85%94%EC%B8%A0_123-000-800_image_2.png HTTP/1.1" 404 902
